;C1_TT101 (°C);C1_TT111 (°C);C1_PT801 (barA);C1_PT802 (barA); (); ();C2_TT101 (°C);C2_TT111 (°C);
05/03/2019 07:45:39;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:45:59;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:46:21;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:46:41;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:47:01;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:47:21;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:47:41;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:48:01;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:48:21;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:48:41;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:49:01;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:49:21;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:49:43;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:50:03;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:50:23;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:50:43;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:51:03;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:51:23;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:51:43;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:52:03;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:52:23;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:52:45;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:53:05;-0.01;19.3;0;0;45.7;22.1;0;0;
05/03/2019 07:53:25;-0.01;19.3;0;0;100.1;22.1;0;0;
05/03/2019 07:53:45;-0.01;19.3;0;0;100.1;22.1;0;0;
05/03/2019 07:54:05;-0.01;19.3;0;0;100.1;22.1;0;0;
05/03/2019 07:54:25;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:54:45;-0.01;19.3;0;0;100.1;22.1;0;0;
05/03/2019 07:55:05;-0.01;19.3;0;0;100.1;22.1;0;0;
05/03/2019 07:55:25;-0.01;19.3;0;0;100.1;22.1;0;0;
05/03/2019 07:55:47;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:56:07;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:56:27;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:56:47;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:57:08;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:57:27;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:57:47;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:58:07;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:58:27;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:58:48;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:59:09;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:59:29;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 07:59:49;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:00:09;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:00:29;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:00:49;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:01:09;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:01:29;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:01:51;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:02:11;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:02:31;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:02:51;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:03:11;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:03:31;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:03:51;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:04:11;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:04:31;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:04:53;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:05:13;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:05:33;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:05:53;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:06:13;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:06:33;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:06:53;-0.01;19.3;0;0;100.1;22.2;0;0;
05/03/2019 08:07:13;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:07:33;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:07:53;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:08:15;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:08:35;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:08:55;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:09:15;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:09:35;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:09:55;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:10:15;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:10:35;-0.01;19.3;0;0;100.1;22.3;0;0;
05/03/2019 08:10:55;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:11:17;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:11:37;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:11:57;-0.01;19.4;0;0;0;22.3;0;0;
05/03/2019 08:12:17;-0.01;19.4;0;0;0;22.3;0;0;
05/03/2019 08:12:37;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:12:57;-0.01;19.4;0;0;0;22.3;0;0;
05/03/2019 08:13:17;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:13:37;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:13:57;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:14:19;-0.01;19.3;0;0;0;22.3;0;0.01;
05/03/2019 08:14:39;-0.01;19.4;0;0;0;22.3;0;0;
05/03/2019 08:14:59;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:15:19;-0.01;19.4;0;0;0;22.3;0;0;
05/03/2019 08:15:39;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:15:59;-0.01;19.3;0;0;0;22.2;0;0;
05/03/2019 08:16:19;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:16:39;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:16:59;-0.01;19.3;0;0;0;22.3;0;0;
05/03/2019 08:17:21;-0.01;19.4;0;0;0;22.3;0;0;
05/03/2019 08:17:41;-0.01;19.4;0;0;0;22.2;0;0;
05/03/2019 08:18:01;-0.01;19.4;0;0;0;22.2;0;0;
05/03/2019 08:18:21;-0.01;19.4;0;0;0;22.2;0;0;
