"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
573969;"08/03/2019 06:21:43";"-1:00";;"PHASE: GESTION TEMPERATURE ETAPE: 0 REPOS";"Changement d'étape";;RDiBQi
573970;"08/03/2019 06:21:51";"-1:00";;"PHASE: GESTION POMPE YSTRAL ETAPE: 2 DEMARRAGE POMPE ";"Changement d'étape";;kUiebc
573971;"08/03/2019 06:21:55";"-1:00";;"PHASE: GESTION POMPE YSTRAL ETAPE: 3 AUTOR. SORTIE PROD";"Changement d'étape";;0pt+Y8
573972;"08/03/2019 06:21:57";"-1:00";;"PHASE: GESTION POMPE YSTRAL ETAPE: 4 MODE STAND-BY";"Changement d'étape";;y7xKMc
573973;"08/03/2019 06:22:43";"-1:00";;"PHASE: INTRODUCTION LIQUIDES";"Appel Opérateur";;Ba/EEa
573974;"08/03/2019 06:22:49";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;ZGKBYz
573975;"08/03/2019 06:23:09";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Confirmation opérateur";;7WtYzw
573976;"08/03/2019 06:23:11";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 7 MODE DISPERSING";"Changement d'étape";;EUehVa
573977;"08/03/2019 06:23:11";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES ETAPE: 2 INTRO. POLYSORBATE";"Changement d'étape";;ygrgmZ
573978;"08/03/2019 06:38:45";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;2mHq6F
573979;"08/03/2019 06:52:17";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;e0CjoL
573980;"08/03/2019 06:52:33";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Confirmation opérateur";;LxOM0u
573981;"08/03/2019 06:52:33";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 4 MODE STAND-BY";"Changement d'étape";;JCBmY6
573982;"08/03/2019 06:52:33";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES ETAPE: 7 FIN INTRODUCTION";"Changement d'étape";;2qAHq3
573983;"08/03/2019 06:52:37";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 5 AUTOR. ENTREE  PROD";"Changement d'étape";;XGF9Rp
573984;"08/03/2019 06:52:39";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 6 ARRET POMPE ";"Changement d'étape";;2+Kr85
573985;"08/03/2019 06:52:45";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL";"Annulée";;Q1aDlr
573986;"08/03/2019 06:52:45";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 0 REPOS";"Changement d'étape";;WjMiT3
573987;"08/03/2019 06:53:03";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Appel Opérateur";;nveVdF
573988;"08/03/2019 06:53:39";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Confirmation opérateur";;qWpouI
573989;"08/03/2019 06:53:39";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL";"En Marche";;f55FFK
573990;"08/03/2019 06:53:39";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION";"En Marche";;JbzFm7
573991;"08/03/2019 06:53:39";"-1:00";"BCO";"RECETTE: RECETTE DE PRODUCTION PAS N°16: PHASE N°4 - INTRODUCTION LIQUIDES";"Changement du pas de la recette";;dxELDA
573992;"08/03/2019 06:53:39";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 1 REFROIDISSEMENT";"Changement d'étape";;mDUanh
573993;"08/03/2019 06:53:39";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION ETAPE: 1 RECIRCULATION / AGITATION";"Changement d'étape";;rsT5Vu
573994;"08/03/2019 06:53:39";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES ETAPE: 0 REPOS";"Changement d'étape";;efUY9k
