"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
43529887812,5;2;1;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:18:27";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529891006,9444;2;0;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:23:03";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529891099,537;2;1;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:23:11";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529896701,3889;2;0;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:31:15";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529896777,2222;2;6;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:31:22";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529897002,3148;2;1;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:31:41";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529903414,3519;2;1;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 21:40:55";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
43529912306,6435;2;3;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 21:53:43";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
43529912326,3889;2;2;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 21:53:45";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
43529912334,3056;2;3;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:53:46";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529912326,4005;2;2;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:53:45";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529915960,6481;2;1;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 21:58:59";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
43529927032,5463;2;3;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 22:14:56";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
43529928298,6111;2;2;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 22:16:45";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
43529928321,7593;2;1;64;51;"51_DEFAUT GENERAL BROYEUR";;;;;;;;"05/03/2019 22:16:47";"51_DEFAUT GENERAL BROYEUR";"HMI_Liaison_1"
